wilaya_code,home_delivery_price,office_delivery_price
01,1000,800
02,550,450
03,850,700
04,700,600
05,700,600
06,700,600
07,850,700
08,1000,800
09,550,450
10,700,600
11,1500,1300
12,850,700
13,700,600
14,700,600
15,700,600
16,550,450
17,850,700
18,700,600
19,700,600
20,700,600
21,700,600
22,700,600
23,700,600
24,700,600
25,700,600
26,700,600
27,700,600
28,700,600
29,700,600
30,850,700
31,700,600
32,1000,800
33,1500,1300
34,700,600
35,700,600
36,700,600
37,1500,1300
38,700,600
39,850,700
40,700,600
41,700,600
42,500,400
43,700,600
44,550,450
45,1000,800
46,700,600
47,850,700
48,700,600
49,1000,800
50,1000,800
51,850,700
52,1000,800
53,1500,1300
54,1500,1300
55,850,700
56,1500,1300
57,850,700
58,850,700
